ht,lat,lon,0
100.0,-80.0,0.0,0.00015303280732530954
100.0,-80.0,20.0,0.00016645878694802096
100.0,-80.0,40.0,0.0001802693111611805
100.0,-80.0,60.0,0.00019366703949057546
100.0,-80.0,80.0,0.00020570448686083165
100.0,-80.0,100.0,0.00021509516756736753
100.0,-80.0,120.0,0.00022028489195254793
100.0,-80.0,140.0,0.00021983150526299312
100.0,-80.0,160.0,0.0002128957514601205
100.0,-80.0,180.0,0.00019967182170566811
100.0,-80.0,200.0,0.00018172862936344388
100.0,-80.0,220.0,0.0001620188210345083
100.0,-80.0,240.0,0.0001441772984971967
100.0,-80.0,260.0,0.00013131173364980657
100.0,-80.0,280.0,0.00012546079463328404
100.0,-80.0,300.0,0.00012579378057853586
100.0,-80.0,320.0,0.0001315710488900033
100.0,-80.0,340.0,0.00014124316060416502
100.0,-70.0,0.0,0.0001493004063236293
100.0,-70.0,20.0,0.00017571511523588272
100.0,-70.0,40.0,0.00020233104874860006
100.0,-70.0,60.0,0.00023584872320229296
100.0,-70.0,80.0,0.00026606011543678387
100.0,-70.0,100.0,0.0002906561910973937
100.0,-70.0,120.0,0.00030335533880741967
100.0,-70.0,140.0,0.0002967282688590845
100.0,-70.0,160.0,0.00028041399751064497
100.0,-70.0,180.0,0.00024872201239927995
100.0,-70.0,200.0,0.0002019325454535834
100.0,-70.0,220.0,0.00014892303439277682
100.0,-70.0,240.0,0.00010350590017373634
100.0,-70.0,260.0,7.643043083197007e-05
100.0,-70.0,280.0,6.973337405551515e-05
100.0,-70.0,300.0,7.861250348255368e-05
100.0,-70.0,320.0,9.84992993817802e-05
100.0,-70.0,340.0,0.00012338328326197572
100.0,-60.0,0.0,0.0001494029386387123
100.0,-60.0,20.0,0.0001901649433221987
100.0,-60.0,40.0,0.0002358726399956343
100.0,-60.0,60.0,0.0002850026995591716
100.0,-60.0,80.0,0.00033511519888140573
100.0,-60.0,100.0,0.00038334241810362947
100.0,-60.0,120.0,0.0004123066165746793
100.0,-60.0,140.0,0.00040347500544250217
100.0,-60.0,160.0,0.00036218031912380706
100.0,-60.0,180.0,0.0003040885736829189
100.0,-60.0,200.0,0.00021233553919901757
100.0,-60.0,220.0,0.00010642005728537452
100.0,-60.0,240.0,3.898734060193869e-05
100.0,-60.0,260.0,1.866132560322757e-05
