ht,lat,lon,0
100.0,-80.0,0.0,1.5635928276171364e-07
100.0,-80.0,20.0,1.7144496865275977e-07
100.0,-80.0,40.0,1.9004234127334602e-07
100.0,-80.0,60.0,2.116453643165069e-07
100.0,-80.0,80.0,2.3478977468137273e-07
100.0,-80.0,100.0,2.5655253876620705e-07
100.0,-80.0,120.0,2.729080574368802e-07
100.0,-80.0,140.0,2.8001157901673874e-07
100.0,-80.0,160.0,2.755510574059045e-07
100.0,-80.0,180.0,2.594222490963249e-07
100.0,-80.0,200.0,2.340407178699827e-07
100.0,-80.0,220.0,2.0427577827869018e-07
100.0,-80.0,240.0,1.761000430808269e-07
100.0,-80.0,260.0,1.5430374690783825e-07
100.0,-80.0,280.0,1.4150510463812096e-07
100.0,-80.0,300.0,1.3650313045848714e-07
100.0,-80.0,320.0,1.38305311329734e-07
100.0,-80.0,340.0,1.4538025102279724e-07
100.0,-70.0,0.0,1.5861185702543876e-07
100.0,-70.0,20.0,1.9064110777623834e-07
100.0,-70.0,40.0,2.2998144341864004e-07
100.0,-70.0,60.0,2.8783743470215434e-07
100.0,-70.0,80.0,3.543742310474956e-07
100.0,-70.0,100.0,4.2198752405883713e-07
100.0,-70.0,120.0,4.7050118962922563e-07
100.0,-70.0,140.0,4.785893636334326e-07
100.0,-70.0,160.0,4.6069722602286675e-07
100.0,-70.0,180.0,4.0942619933150806e-07
100.0,-70.0,200.0,3.2563244221863975e-07
100.0,-70.0,220.0,2.2879395745634332e-07
100.0,-70.0,240.0,1.482484891329059e-07
100.0,-70.0,260.0,1.0112506514443316e-07
100.0,-70.0,280.0,8.542747128113098e-08
100.0,-70.0,300.0,9.019310184658898e-08
100.0,-70.0,320.0,1.0775247855278668e-07
100.0,-70.0,340.0,1.3148940182195404e-07
100.0,-60.0,0.0,1.80152250668178e-07
100.0,-60.0,20.0,2.3936169247078016e-07
100.0,-60.0,40.0,3.1566590271638895e-07
100.0,-60.0,60.0,4.1644892058534567e-07
100.0,-60.0,80.0,5.496192677862286e-07
100.0,-60.0,100.0,7.085409663823475e-07
100.0,-60.0,120.0,8.286982448090035e-07
100.0,-60.0,140.0,8.410266471490924e-07
100.0,-60.0,160.0,7.677680486252902e-07
100.0,-60.0,180.0,6.507485241598173e-07
100.0,-60.0,200.0,4.4206796162979573e-07
100.0,-60.0,220.0,2.0286722016394218e-07
100.0,-60.0,240.0,6.54585727393702e-08
100.0,-60.0,260.0,2.7462658266239945e-08
100.0,-60.0,280.0,2.1483310071834258e-08
100.0,-60.0,300.0,3.1458406371881034e-08
100.0,-60.0,320.0,6.813333400243327e-08
100.0,-60.0,340.0,1.2381615493837013e-07
100.0,-50.0,0.0,2.1319300243342753e-07
100.0,-50.0,20.0,3.190334095908953e-07
100.0,-50.0,40.0,4.456622460252513e-07
100.0,-50.0,60.0,5.955890509423003e-07
100.0,-50.0,80.0,8.090672859407757e-07
100.0,-50.0,100.0,1.1054466095391956e-06
100.0,-50.0,120.0,1.3296978871566668e-06
100.0,-50.0,140.0,1.295392971815109e-06
100.0,-50.0,160.0,1.1168967832880381e-06
100.0,-50.0,180.0,9.165669878772035e-07
100.0,-50.0,200.0,5.075729999934736e-07
100.0,-50.0,220.0,1.0477969570415178e-07
100.0,-50.0,240.0,1.820850728391088e-08
100.0,-50.0,260.0,8.244492014458504e-09
100.0,-50.0,280.0,6.169700179727865e-09
100.0,-50.0,300.0,7.412797031740395e-09
100.0,-50.0,320.0,2.574451431734018e-08
100.0,-50.0,340.0,1.0657038879141914e-07
100.0,-40.0,0.0,2.483932732839973e-07
100.0,-40.0,20.0,4.240171967983791e-07
100.0,-40.0,40.0,6.166000675293638e-07
100.0,-40.0,60.0,8.122525734587299e-07
100.0,-40.0,80.0,1.080735079976936e-06
100.0,-40.0,100.0,1.4937428836284614e-06
100.0,-40.0,120.0,1.7929182938559981e-06
100.0,-40.0,140.0,1.6294392954967022e-06
100.0,-40.0,160.0,1.3121742666006863e-06
100.0,-40.0,180.0,1.0201188827748825e-06
100.0,-40.0,200.0,4.200482064703724e-07
100.0,-40.0,220.0,4.2259395102071935e-08
100.0,-40.0,240.0,1.4436002647998078e-08
100.0,-40.0,260.0,8.743864341143087e-09
100.0,-40.0,280.0,6.30890667960214e-09
100.0,-40.0,300.0,5.642104630186883e-09
100.0,-40.0,320.0,8.849032140523819e-09
100.0,-40.0,340.0,7.52680318016714e-08
100.0,-30.0,0.0,2.788172397516048e-07
100.0,-30.0,20.0,5.459911204615384e-07
100.0,-30.0,40.0,8.176950916442118e-07
100.0,-30.0,60.0,1.0560451280708058e-06
100.0,-30.0,80.0,1.3274176810508769e-06
100.0,-30.0,100.0,1.7545622191897536e-06
100.0,-30.0,120.0,2.0450621632302013e-06
100.0,-30.0,140.0,1.7714748765152076e-06
100.0,-30.0,160.0,1.3367434923156352e-06
100.0,-30.0,180.0,9.068075074009551e-07
100.0,-30.0,200.0,2.2149062715511948e-07
100.0,-30.0,220.0,2.9110925039260273e-08
100.0,-30.0,240.0,1.641892310848458e-08
100.0,-30.0,260.0,9.42752925672501e-09
100.0,-30.0,280.0,6.741742761374069e-09
100.0,-30.0,300.0,6.251469008125921e-09
100.0,-30.0,320.0,6.964405840525767e-09
100.0,-30.0,340.0,4.207147212357873e-08
100.0,-20.0,0.0,2.986424924014593e-07
100.0,-20.0,20.0,6.799159360519417e-07
100.0,-20.0,40.0,1.0316184704250577e-06
100.0,-20.0,60.0,1.307302461903234e-06
100.0,-20.0,80.0,1.5321310692310438e-06
100.0,-20.0,100.0,1.862681726647771e-06
100.0,-20.0,120.0,2.0839574086045333e-06
100.0,-20.0,140.0,1.7918728679193891e-06
100.0,-20.0,160.0,1.2748126744935556e-06
100.0,-20.0,180.0,7.053891072399523e-07
100.0,-20.0,200.0,8.853382058352873e-08
100.0,-20.0,220.0,2.98555105846322e-08
100.0,-20.0,240.0,1.8305979508393094e-08
100.0,-20.0,260.0,1.064419499278996e-08
100.0,-20.0,280.0,7.79171820179646e-09
100.0,-20.0,300.0,7.550536672661766e-09
100.0,-20.0,320.0,8.627239619113519e-09
100.0,-20.0,340.0,2.339821988059917e-08
100.0,-10.0,0.0,2.478044211308055e-07
100.0,-10.0,20.0,7.418038289664973e-07
100.0,-10.0,40.0,1.137393541095485e-06
100.0,-10.0,60.0,1.4207183375239705e-06
100.0,-10.0,80.0,1.565681006624428e-06
100.0,-10.0,100.0,1.7394582603628372e-06
100.0,-10.0,120.0,1.8803385437253657e-06
100.0,-10.0,140.0,1.6303176668722468e-06
100.0,-10.0,160.0,1.0826342934217466e-06
100.0,-10.0,180.0,4.423477010426767e-07
100.0,-10.0,200.0,2.7928682703135198e-08
100.0,-10.0,220.0,2.775981664839953e-08
100.0,-10.0,240.0,1.9677915389545114e-08
100.0,-10.0,260.0,1.2482241423063024e-08
100.0,-10.0,280.0,9.64582190569915e-09
100.0,-10.0,300.0,9.720218443565385e-09
100.0,-10.0,320.0,1.1214303600618668e-08
100.0,-10.0,340.0,1.4286097827512764e-08
100.0,0.0,0.0,1.7339105322822273e-07
100.0,0.0,20.0,7.196291569894781e-07
100.0,0.0,40.0,1.0677332388557246e-06
100.0,0.0,60.0,1.2892751638028639e-06
100.0,0.0,80.0,1.3560318072937863e-06
100.0,0.0,100.0,1.4247334661915797e-06
100.0,0.0,120.0,1.517144025711245e-06
100.0,0.0,140.0,1.3447456338400187e-06
100.0,0.0,160.0,8.720209956985669e-07
100.0,0.0,180.0,2.5524597874396e-07
100.0,0.0,200.0,2.3714892803752435e-08
100.0,0.0,220.0,2.3943328860897447e-08
100.0,0.0,240.0,1.9476079051988855e-08
100.0,0.0,260.0,1.4189995360489561e-08
100.0,0.0,280.0,1.1790113886564504e-08
100.0,0.0,300.0,1.2149139646354642e-08
100.0,0.0,320.0,1.412067633496297e-08
100.0,0.0,340.0,1.7539417355349935e-08
100.0,10.0,0.0,8.610972970520495e-08
100.0,10.0,20.0,5.649074036440054e-07
100.0,10.0,40.0,8.302777125668332e-07
100.0,10.0,60.0,9.5511115208671e-07
100.0,10.0,80.0,9.809874288756012e-07
100.0,10.0,100.0,1.0179124060288598e-06
100.0,10.0,120.0,1.0779625284566843e-06
100.0,10.0,140.0,9.63270347918975e-07
100.0,10.0,160.0,6.201704648406692e-07
100.0,10.0,180.0,1.1392694017376573e-07
100.0,10.0,200.0,1.9167510088923662e-08
100.0,10.0,220.0,1.891654960983313e-08
100.0,10.0,240.0,1.69205372365849e-08
100.0,10.0,260.0,1.4099472038020369e-08
100.0,10.0,280.0,1.2507762916565145e-08
100.0,10.0,300.0,1.3012156631145687e-08
100.0,10.0,320.0,1.5417117871767774e-08
100.0,10.0,340.0,1.8790602762010524e-08
100.0,20.0,0.0,5.090914882043926e-08
100.0,20.0,20.0,4.088802749544883e-07
100.0,20.0,40.0,6.08299972995262e-07
100.0,20.0,60.0,6.522427566620689e-07
100.0,20.0,80.0,6.625094265701252e-07
100.0,20.0,100.0,6.847463765351149e-07
100.0,20.0,120.0,7.18149408723382e-07
100.0,20.0,140.0,6.587423426543142e-07
100.0,20.0,160.0,4.134349690006884e-07
100.0,20.0,180.0,5.6990565435991735e-08
100.0,20.0,200.0,1.4737583772625454e-08
100.0,20.0,220.0,1.4361387506488462e-08
100.0,20.0,240.0,1.3471949779074761e-08
100.0,20.0,260.0,1.2075293631347943e-08
100.0,20.0,280.0,1.1058111304967127e-08
100.0,20.0,300.0,1.1568150805510667e-08
100.0,20.0,320.0,1.40580054883171e-08
100.0,20.0,340.0,1.7226097789005264e-08
100.0,30.0,0.0,2.515292680421193e-08
100.0,30.0,20.0,2.4381710082284887e-07
100.0,30.0,40.0,4.215115664830685e-07
100.0,30.0,60.0,4.4509407059223984e-07
100.0,30.0,80.0,4.379931971975563e-07
100.0,30.0,100.0,4.44448977020386e-07
100.0,30.0,120.0,4.612902905383237e-07
100.0,30.0,140.0,4.22155906607779e-07
100.0,30.0,160.0,2.3539719909322903e-07
100.0,30.0,180.0,2.4875956786337954e-08
100.0,30.0,200.0,1.190750932087684e-08
100.0,30.0,220.0,1.1675488727112374e-08
100.0,30.0,240.0,1.0991887100807663e-08
100.0,30.0,260.0,9.891613887487705e-09
100.0,30.0,280.0,9.040671932581749e-09
100.0,30.0,300.0,9.442716456929572e-09
100.0,30.0,320.0,1.1593877684542982e-08
100.0,30.0,340.0,1.4435766764800493e-08
100.0,40.0,0.0,1.4802426757361238e-08
100.0,40.0,20.0,1.2070023940390587e-07
100.0,40.0,40.0,2.8612179059369514e-07
100.0,40.0,60.0,3.2052431235957664e-07
100.0,40.0,80.0,3.122193611271595e-07
100.0,40.0,100.0,3.0830854915909393e-07
100.0,40.0,120.0,3.1188494068495953e-07
100.0,40.0,140.0,2.6996048874775856e-07
100.0,40.0,160.0,1.1798078954823971e-07
100.0,40.0,180.0,1.3744050365196255e-08
100.0,40.0,200.0,1.0635872969883326e-08
100.0,40.0,220.0,1.0465844276056408e-08
100.0,40.0,240.0,9.615442577630369e-09
100.0,40.0,260.0,8.39906060290478e-09
100.0,40.0,280.0,7.573541389062618e-09
100.0,40.0,300.0,7.846527126118402e-09
100.0,40.0,320.0,9.524939356257149e-09
100.0,40.0,340.0,1.1893139870350458e-08
100.0,50.0,0.0,1.1027771691854506e-08
100.0,50.0,20.0,4.673777397547581e-08
100.0,50.0,40.0,1.659736815180905e-07
100.0,50.0,60.0,2.2155679791618361e-07
100.0,50.0,80.0,2.2564882675974365e-07
100.0,50.0,100.0,2.1938888886675264e-07
100.0,50.0,120.0,2.0744271427005441e-07
100.0,50.0,140.0,1.5532856583992318e-07
100.0,50.0,160.0,4.754259608688526e-08
100.0,50.0,180.0,9.60665511994562e-09
100.0,50.0,200.0,9.936541253376725e-09
100.0,50.0,220.0,9.704475708545288e-09
100.0,50.0,240.0,8.706932156722759e-09
100.0,50.0,260.0,7.453076169309834e-09
100.0,50.0,280.0,6.693913796188619e-09
100.0,50.0,300.0,6.879607783596628e-09
100.0,50.0,320.0,8.123448301885418e-09
100.0,50.0,340.0,9.911113146274118e-09
100.0,60.0,0.0,9.144529367847404e-09
100.0,60.0,20.0,1.7683590572407988e-08
100.0,60.0,40.0,6.361895327335763e-08
100.0,60.0,60.0,1.2031923260104246e-07
100.0,60.0,80.0,1.4140984415288866e-07
100.0,60.0,100.0,1.3773042524595358e-07
100.0,60.0,120.0,1.1394500419667245e-07
100.0,60.0,140.0,6.244523313216309e-08
100.0,60.0,160.0,1.803674647343945e-08
100.0,60.0,180.0,8.718795177302023e-09
100.0,60.0,200.0,9.020575164131098e-09
100.0,60.0,220.0,8.724119971785671e-09
100.0,60.0,240.0,7.829904719927538e-09
100.0,60.0,260.0,6.813628541355504e-09
100.0,60.0,280.0,6.234309054922642e-09
100.0,60.0,300.0,6.368548926011507e-09
100.0,60.0,320.0,7.2081745326316375e-09
100.0,60.0,340.0,8.369055821610148e-09
100.0,70.0,0.0,7.644561175428482e-09
100.0,70.0,20.0,9.861006382062843e-09
100.0,70.0,40.0,1.9996940600955845e-08
100.0,70.0,60.0,3.8543709382072946e-08
100.0,70.0,80.0,5.367532443806819e-08
100.0,70.0,100.0,5.3284792215404135e-08
100.0,70.0,120.0,3.8139332929975864e-08
100.0,70.0,140.0,2.0056014215818002e-08
100.0,70.0,160.0,9.908769460523554e-09
100.0,70.0,180.0,7.673169772043318e-09
100.0,70.0,200.0,7.81094804825898e-09
100.0,70.0,220.0,7.56927437483399e-09
100.0,70.0,240.0,7.020738691434067e-09
100.0,70.0,260.0,6.4404532058844436e-09
100.0,70.0,280.0,6.119089045663406e-09
100.0,70.0,300.0,6.20119775365735e-09
100.0,70.0,320.0,6.647248115692468e-09
100.0,70.0,340.0,7.233471474536257e-09
100.0,80.0,0.0,6.7083393903248235e-09
100.0,80.0,20.0,6.7389877097349035e-09
100.0,80.0,40.0,6.670753711628989e-09
100.0,80.0,60.0,6.548413756545925e-09
100.0,80.0,80.0,6.575737952937808e-09
100.0,80.0,100.0,6.5697293642321355e-09
100.0,80.0,120.0,6.423345557144045e-09
100.0,80.0,140.0,6.536679723639322e-09
100.0,80.0,160.0,6.680319302477632e-09
100.0,80.0,180.0,6.7889591202381704e-09
100.0,80.0,200.0,6.804219749393926e-09
100.0,80.0,220.0,6.706334005975932e-09
100.0,80.0,240.0,6.531202441268137e-09
100.0,80.0,260.0,6.356255272599532e-09
100.0,80.0,280.0,6.260371784815056e-09
100.0,80.0,300.0,6.284376573122042e-09
100.0,80.0,320.0,6.4128123125207945e-09
100.0,80.0,340.0,6.581225554397859e-09
120.0,-80.0,0.0,2.6527251735222286e-08
120.0,-80.0,20.0,2.992719670404862e-08
120.0,-80.0,40.0,3.380347698211479e-08
120.0,-80.0,60.0,3.803380745967312e-08
120.0,-80.0,80.0,4.2482653202906547e-08
120.0,-80.0,100.0,4.684676404708173e-08
120.0,-80.0,120.0,5.051645462688626e-08
120.0,-80.0,140.0,5.259170926341513e-08
120.0,-80.0,160.0,5.215303335327312e-08
120.0,-80.0,180.0,4.874427277742782e-08
120.0,-80.0,200.0,4.28390228960533e-08
120.0,-80.0,220.0,3.584456083018292e-08
120.0,-80.0,240.0,2.9427401725699675e-08
120.0,-80.0,260.0,2.4711924926019225e-08
120.0,-80.0,280.0,2.2122627589809224e-08
120.0,-80.0,300.0,2.1302369557576282e-08
120.0,-80.0,320.0,2.1992796423582802e-08
120.0,-80.0,340.0,2.3853607456879977e-08
120.0,-70.0,0.0,2.5045274714920737e-08
120.0,-70.0,20.0,3.16939344733769e-08
120.0,-70.0,40.0,3.886706387442991e-08
120.0,-70.0,60.0,4.680029693592459e-08
120.0,-70.0,80.0,5.6201979000029295e-08
120.0,-70.0,100.0,6.729550214792879e-08
120.0,-70.0,120.0,7.851279921114202e-08
120.0,-70.0,140.0,8.639169905749665e-08
120.0,-70.0,160.0,8.689607932253573e-08
120.0,-70.0,180.0,7.70448515324327e-08
120.0,-70.0,200.0,5.797005986133988e-08
120.0,-70.0,220.0,3.677156170305024e-08
120.0,-70.0,240.0,2.1111942507578302e-08
120.0,-70.0,260.0,1.3054986964422857e-08
120.0,-70.0,280.0,1.0561107697783428e-08
120.0,-70.0,300.0,1.1354864732432304e-08
120.0,-70.0,320.0,1.4494607331216998e-08
120.0,-70.0,340.0,1.9246473898111298e-08
120.0,-60.0,0.0,2.5926655998995582e-08
120.0,-60.0,20.0,3.6456032693167244e-08
120.0,-60.0,40.0,4.714389839235646e-08
120.0,-60.0,60.0,5.897223648143343e-08
120.0,-60.0,80.0,7.521105592150718e-08
120.0,-60.0,100.0,9.819990127283861e-08
120.0,-60.0,120.0,1.2305717078914825e-07
120.0,-60.0,140.0,1.3861381634642366e-07
120.0,-60.0,160.0,1.3736517150030856e-07
120.0,-60.0,180.0,1.1405341388398248e-07
120.0,-60.0,200.0,6.988244963727857e-08
120.0,-60.0,220.0,2.704892406618654e-08
120.0,-60.0,240.0,7.59175568228842e-09
120.0,-60.0,260.0,2.9433611796023606e-09
120.0,-60.0,280.0,2.2481197143042414e-09
120.0,-60.0,300.0,3.3752254457118675e-09
120.0,-60.0,320.0,7.86558440266214e-09
120.0,-60.0,340.0,1.6184427619204135e-08
120.0,-50.0,0.0,2.7356685556613752e-08
120.0,-50.0,20.0,4.283489067032355e-08
120.0,-50.0,40.0,5.760920085454835e-08
120.0,-50.0,60.0,7.398850773050538e-08
120.0,-50.0,80.0,1.0009285056310218e-07
120.0,-50.0,100.0,1.4346791218083534e-07
120.0,-50.0,120.0,1.8898884151066775e-07
120.0,-50.0,140.0,2.028823653676276e-07
120.0,-50.0,160.0,1.849942296941837e-07
120.0,-50.0,180.0,1.386536461655289e-07
120.0,-50.0,200.0,6.23421194234996e-08
120.0,-50.0,220.0,9.606459962590406e-09
120.0,-50.0,240.0,1.3445824030175977e-09
120.0,-50.0,260.0,5.087277634462111e-10
120.0,-50.0,280.0,3.9583064390952966e-10
120.0,-50.0,300.0,5.76048154738633e-10
120.0,-50.0,320.0,2.460872324267264e-09
120.0,-50.0,340.0,1.2225633815896466e-08
120.0,-40.0,0.0,2.7840329238792116e-08
120.0,-40.0,20.0,4.915424455711201e-08
120.0,-40.0,40.0,6.897175891635374e-08
120.0,-40.0,60.0,9.136293990319725e-08
120.0,-40.0,80.0,1.294780611447613e-07
120.0,-40.0,100.0,1.9831590788231904e-07
120.0,-40.0,120.0,2.6388424500261924e-07
120.0,-40.0,140.0,2.540456658849302e-07
120.0,-40.0,160.0,2.00295036299073e-07
120.0,-40.0,180.0,1.2639594569640751e-07
120.0,-40.0,200.0,3.559891952643608e-08
120.0,-40.0,220.0,2.617854310785101e-09
120.0,-40.0,240.0,7.45688527106444e-10
120.0,-40.0,260.0,4.6280642865397624e-10
120.0,-40.0,280.0,3.8853979867238403e-10
120.0,-40.0,300.0,4.153491446723745e-10
120.0,-40.0,320.0,7.709660763993034e-10
120.0,-40.0,340.0,7.2862616316180365e-09
120.0,-30.0,0.0,2.727752396612447e-08
120.0,-30.0,20.0,5.562255045952411e-08
120.0,-30.0,40.0,8.209858263558666e-08
120.0,-30.0,60.0,1.1247449200399484e-07
120.0,-30.0,80.0,1.6107803131244784e-07
120.0,-30.0,100.0,2.4688262551053883e-07
120.0,-30.0,120.0,3.189437276148446e-07
120.0,-30.0,140.0,2.7941498860911624e-07
120.0,-30.0,160.0,1.895624368870994e-07
120.0,-30.0,180.0,9.212391039225915e-08
120.0,-30.0,200.0,1.3284963142184775e-08
120.0,-30.0,220.0,1.2601126947248376e-09
120.0,-30.0,240.0,6.777302781540568e-10
120.0,-30.0,260.0,4.6114288490619426e-10
120.0,-30.0,280.0,4.2744640794690116e-10
120.0,-30.0,300.0,4.728110916512704e-10
120.0,-30.0,320.0,5.601610521077899e-10
120.0,-30.0,340.0,3.5761136608758703e-09
120.0,-20.0,0.0,2.5982811778158886e-08
120.0,-20.0,20.0,6.481225958496155e-08
120.0,-20.0,40.0,1.0034030256478637e-07
120.0,-20.0,60.0,1.3828436501395624e-07
120.0,-20.0,80.0,1.8874561974084896e-07
120.0,-20.0,100.0,2.68296060757725e-07
120.0,-20.0,120.0,3.3007088503685745e-07
120.0,-20.0,140.0,2.810201574110656e-07
120.0,-20.0,160.0,1.7123535783934288e-07
120.0,-20.0,180.0,6.179708322022005e-08
