,Latitude,Longitude,Altitude,Year,Declination,Inclination,Horizontal_intensity,Total_intensity,North_component,East_component,Vertical_component,DeclinationSV,InclinationSV,HorizontalSV,TotalSV,NorthSV,EastSV,VerticalSV,B(T)
0,-25.00000216845413,-55.0,0.0,2008.0,-14.446591013875292,-29.49745873306468,19710.983459802486,22646.47540809892,19087.734277361513,-4917.445384490361,-11150.783804604132,9.556648423420874,-73.82594874890749,15.013469015922109,-29.74645572553654,-85.01461138293949,-35.95695259798944,-72.74148487042241,2.264647540809892e-05
1,-25.0000021650429,-55.0,10.0,2008.0,-14.402490070151606,-29.485232364493868,19637.311828959657,22559.109327110375,19020.15730848372,-4884.4274821448935,-11103.575899894564,9.51446001448985,-73.42490086274258,14.981206170780439,-29.63093748376094,-84.49028799083374,-35.67715352229414,-72.28853958368266,2.2559109327110375e-05
2,-25.000002161642385,-55.0,20.0,2008.0,-14.358706650672802,-29.473116863106977,19563.969050252996,22472.167664178716,18952.832555045923,-4851.703117426756,-11056.646622177197,9.47259636572548,-73.02633624970528,14.949141103083456,-29.515289108673727,-83.97012828098572,-35.40006649974575,-71.83957925882466,2.2472167664178718e-05
3,-25.000002158252542,-55.0,30.0,2008.0,-14.31523750734551,-29.461110982204715,19490.953672141608,22385.648000447643,18885.759737373395,-4819.269051606932,-11009.993703466645,9.431054043637356,-72.63024175792702,14.91727208251794,-29.399529144846046,-83.45409184769841,-35.12566002848733,-71.39455731502252,2.2385648000447646e-05
4,-25.000002154873314,-55.0,40.0,2008.0,-14.27207943501196,-29.449213491218437,19418.264245710987,22299.547932955964,18818.93855735681,-4787.1220885503735,-10963.614901023422,9.38982966014578,-72.23660418495538,14.885597397505073,-29.28367560270259,-82.942138746955,-34.853903034114985,-70.95342786347909,2.2299547932955967e-05
5,-25.00000215150466,-55.0,50.0,2008.0,-14.229229270751771,-29.43742317548859,19345.899324765545,22213.865074506357,18752.368698979717,-4755.25907406629,-10917.507996993148,9.348919871871502,-71.8454102827216,14.854115354984282,-29.167745972314883,-82.43422949043709,-34.58476486302133,-70.5161456949028,2.2213865074506358e-05
6,-25.000002148146507,-55.0,60.0,2008.0,-14.18668389319715,-29.42573883604533,19273.857465918918,22128.59705353609,18686.049828833613,-4723.676895269793,-10871.67079805159,9.308321379437889,-71.45664676232886,14.822824280198805,-29.05175723683243,-81.93032503962567,-34.318215275855735,-70.08266626724897,2.2128597053536093e-05
7,-25.000002144798827,-55.0,70.0,2008.0,-14.144440221861341,-29.414159289392764,19202.137228681393,22043.741513989105,18619.981596620273,-4692.372479954496,-10826.101135055716,9.268030926785562,-71.07030029866743,14.79172251648341,-28.935725885559254,-81.43038679998438,-34.05422444109982,-69.65294569372007,2.2043741513989105e-05
8,-25.00000214146158,-55.0,80.0,2008.0,-14.102495216480174,-29.40268336729566,19130.73717554493,21959.296115189758,18554.16363564198,-4661.342795976034,-10780.796862700414,9.228045300499094,-70.68635753486247,14.760808425054028,-28.819667926688187,-80.93437661522421,-33.79276292875553,-69.22694073101896,2.195929611518976e-05
9,-25.000002138134676,-55.0,90.0,2008.0,-14.060845876365947,-29.391309916569146,19059.655872065825,21875.25853171824,18488.595563280076,-4630.584850646135,-10735.75585918096,9.188361329145524,-70.30480508656056,14.730080384799265,-28.70359889970135,-80.44225676164882,-33.53380170414402,-68.80460876784845,2.187525853171824e-05
